airportCode,airportName,airportCity,airportState,airportCountry
AKL, Auckland Airport, Auckland,Auckland, New Zealand
AMS, Amsterdam Airport Schiphol, Amsterdam, North Holland, Netherlands
ATL, Hartsfield Jackson Atlanta International Airport, Atlanta, Georgia, United States
BKK, Suvarnabhumi Airport, Bangkok,Bankgok, Thailand
BNE, Brisbane Airport, Brisbane, Queensland, Australia
BOG, El Dorado International Airport,Bogota,Bogota, Colombia
BOM, Chhatrapati Shivaji Maharaj International Airport, Mumbai, Maharashtra, India
CAI, Cairo International Airport, Cairo,Cairo, Egypt
CDG, Charles de Gaulle Airport, Paris,Paris, France
CPH, Copenhagen Airport, Copenhagen, Capital Region of Denmark, Denmark
DEN, Denver International Airport, Denver, Colorado, United States
DFW, Dallas/Fort Worth International Airport, Dallas-Fort Worth, Texas, United States
DME, Moscow Domodedovo Airport, Moscow,Moscow, Russia
DOH, Hamad International Airport, Doha,Doha, Qatar
DXB, Dubai International Airport,Dubai, Dubai, United Arab Emirates
EWR, Newark Liberty International Airport, Newark, New Jersey, United States
FRA, Frankfurt Airport, Frankfurt, Hesse, Germany
GRU, Sao Paulo Guarulhos International Airport,Sao Palo,Sao Palo, Brazil
HKG, Hong Kong International Airport, Hong Kong, Hong Kong SAR, China
ICN, Incheon International Airport, Seoul, Incheon, South Korea
IST, Istanbul Airport, Istanbul,Istanbul, Turkey
JFK, John F. Kennedy International Airport, New York City, New York, United States
JNB, O. R. Tambo International Airport, Johannesburg, Gauteng, South Africa
LAX, Los Angeles International Airport, Los Angeles, California, United States
LHR, London Heathrow Airport, London, England, United Kingdom
MAD, Adolfo Sujarez Madrid Barajas Airport, Madrid,Madrid, Spain
MEX, Mexico City International Airport, Mexico City,Mexico City, Mexico
MIA, Miami International Airport, Miami, Florida, United States
MNL, Ninoy Aquino International Airport, Manila,Manila, Philippines
MSP, Minneapolis-Saint Paul International Airport, Minneapolis, Minnesota, United States
MUC, Munich Airport, Munich, Bavaria, Germany
NRT, Narita International Airport, Tokyo, Chiba, Japan
ORD, O'Hare International Airport, Chicago, Illinois, United States
PEK, Beijing Capital International Airport, Beijing,Beijing, China
PTY, Tocumen International Airport, Panama City,Panama City, Panama
SEA, Seattle-Tacoma International Airport, Seattle, Washington, United States
SFO, San Francisco International Airport, San Francisco, California, United States
SIN, Singapore Changi Airport,Changi, Singapore, Singapore
SYD, Sydney Kingsford-Smith Airport, Sydney, New South Wales, Australia
TPE, Taiwan Taoyuan International Airport, Taipei,Taipei, Taiwan
VIE, Vienna International Airport, Vienna,Vienna, Austria
YVR, Vancouver International Airport, Vancouver, British Columbia, Canada
YYC, Calgary International Airport, Calgary, Alberta, Canada
YYZ, Toronto Pearson International Airport, Toronto, Ontario, Canada
ZRH, Zurich Airport, Zurich,Zurich, Switzerland
